
          Mkt-RF    SMB       HML      RF

  2010,   17.37,   14.15,   -5.17,    0.12
  2011,    0.44,   -5.73,   -8.41,    0.04
  2012,   16.27,   -1.40,    9.99,    0.06
  2013,   35.20,    7.73,    2.60,    0.02
  2014,   11.71,   -7.80,   -1.45,    0.02
  2015,    0.09,   -4.01,   -9.65,    0.02
  2016,   13.30,    6.75,   22.71,    0.20
  2017,   21.51,   -5.09,  -13.57,    0.80
  2018,   -6.95,   -3.16,   -9.67,    1.83
  2019,   28.28,   -6.14,  -10.46,    2.15
  2020,   23.66,   13.18,  -46.67,    0.45
  2021,   23.56,   -3.89,   25.49,    0.04
  2022,  -21.60,   -6.95,   25.81,    1.43

Copyright 2023 Kenneth R. French
