PERMNO,date,TICKER,SHROUT
86339,2015-10-30,CCI,333771
86339,2015-11-30,CCI,333771
86339,2015-12-31,CCI,333771
86339,2016-01-29,CCI,333772
86339,2016-02-29,CCI,333769
86339,2016-03-31,CCI,333769
86339,2016-04-29,CCI,337560
86339,2016-05-31,CCI,337560
86339,2016-06-30,CCI,337560
86339,2016-07-29,CCI,337562
86339,2016-08-31,CCI,337563
86339,2016-09-30,CCI,337563
86339,2016-10-31,CCI,337570
86339,2016-11-30,CCI,360605
86339,2016-12-30,CCI,360605
86339,2017-01-31,CCI,360537
86339,2017-02-28,CCI,360538
86339,2017-03-31,CCI,360538
86339,2017-04-28,CCI,366109
86339,2017-05-31,CCI,366109
86339,2017-06-30,CCI,366109
86339,2017-07-31,CCI,406266
86339,2017-08-31,CCI,406267
86339,2017-09-29,CCI,406267
86339,2017-10-31,CCI,406275
86339,2017-11-30,CCI,406275
86339,2017-12-29,CCI,406275
86339,2018-01-31,CCI,406281
86339,2018-02-28,CCI,406907
86339,2018-03-29,CCI,406907
86339,2018-04-30,CCI,414823
86339,2018-05-31,CCI,414823
86339,2018-06-29,CCI,414823
86339,2018-07-31,CCI,415000
86339,2018-08-31,CCI,414840
86339,2018-09-28,CCI,414840
86339,2018-10-31,CCI,415000
86339,2018-11-30,CCI,414850
86339,2018-12-31,CCI,414850
86339,2019-01-31,CCI,415000
86339,2019-02-28,CCI,415568
86339,2019-03-29,CCI,415568
86339,2019-04-30,CCI,416000
86339,2019-05-31,CCI,415741
86339,2019-06-28,CCI,415741
86339,2019-07-31,CCI,415755
86339,2019-08-30,CCI,415755
86339,2019-09-30,CCI,415755
86339,2019-10-31,CCI,416000
86339,2019-11-29,CCI,415768
86339,2019-12-31,CCI,415768
86339,2020-01-31,CCI,415768
86339,2020-02-28,CCI,415768
86339,2020-03-31,CCI,416749
86339,2020-04-30,CCI,416749
86339,2020-05-29,CCI,416751
86339,2020-06-30,CCI,416751
86339,2020-07-31,CCI,419668
86339,2020-08-31,CCI,437277
86339,2020-09-30,CCI,437277
86339,2020-10-30,CCI,431298
86339,2020-11-30,CCI,431298
86339,2020-12-31,CCI,431298
86339,2021-01-29,CCI,431298
86339,2021-02-26,CCI,431312
86339,2021-03-31,CCI,431312
86339,2021-04-30,CCI,432187
86339,2021-05-28,CCI,432190
86339,2021-06-30,CCI,432190
86339,2021-07-30,CCI,432000
86339,2021-08-31,CCI,432196
86339,2021-09-30,CCI,432196
86339,2021-10-29,CCI,432196
86339,2021-11-30,CCI,432203
86339,2021-12-31,CCI,432203
86339,2022-01-31,CCI,432203
86339,2022-02-28,CCI,432215
86339,2022-03-31,CCI,433030
86339,2022-04-29,CCI,433000
86339,2022-05-31,CCI,433032
86339,2022-06-30,CCI,433032
86339,2022-07-29,CCI,433000
86339,2022-08-31,CCI,433039
86339,2022-09-30,CCI,433039
86339,2022-10-31,CCI,433000
86339,2022-11-30,CCI,433048
86339,2022-12-30,CCI,433048
86356,2000-03-31,EBAY,130183
86356,2000-04-28,EBAY,130183
86356,2000-05-31,EBAY,262790
86356,2000-06-30,EBAY,262962
86356,2000-07-31,EBAY,268414
86356,2000-08-31,EBAY,268414
86356,2000-09-29,EBAY,267387
86356,2000-10-31,EBAY,267897
86356,2000-11-30,EBAY,267897
86356,2000-12-29,EBAY,269250
86356,2001-01-31,EBAY,269250
86356,2001-02-28,EBAY,269250
86356,2001-03-30,EBAY,270165
86356,2001-04-30,EBAY,270165
86356,2001-05-31,EBAY,270165
86356,2001-06-29,EBAY,273268
86356,2001-07-31,EBAY,273268
86356,2001-08-31,EBAY,273268
86356,2001-09-28,EBAY,275121
86356,2001-10-31,EBAY,275121
86356,2001-11-30,EBAY,275121
86356,2001-12-31,EBAY,277259
86356,2002-01-31,EBAY,277259
86356,2002-02-28,EBAY,277259
86356,2002-03-28,EBAY,279890
86356,2002-04-30,EBAY,280196
86356,2002-05-31,EBAY,280196
86356,2002-06-28,EBAY,281637
86356,2002-07-31,EBAY,281830
86356,2002-08-30,EBAY,281830
86356,2002-09-30,EBAY,282929
86356,2002-10-31,EBAY,308732
86356,2002-11-29,EBAY,308732
86356,2002-12-31,EBAY,311277
86356,2003-01-31,EBAY,311277
86356,2003-02-28,EBAY,314556
86356,2003-03-31,EBAY,315777
86356,2003-04-30,EBAY,317498
86356,2003-05-30,EBAY,317498
86356,2003-06-30,EBAY,321042
86356,2003-07-31,EBAY,321042
86356,2003-08-29,EBAY,642084
86356,2003-09-30,EBAY,644598
86356,2003-10-31,EBAY,645986
86356,2003-11-28,EBAY,645986
86356,2003-12-31,EBAY,649293
86356,2004-01-30,EBAY,649293
86356,2004-02-27,EBAY,649293
86356,2004-03-31,EBAY,655090
86356,2004-04-30,EBAY,657360
86356,2004-05-28,EBAY,657360
86356,2004-06-30,EBAY,660742
86356,2004-07-30,EBAY,661022
86356,2004-08-31,EBAY,661022
86356,2004-09-30,EBAY,662901
86356,2004-10-29,EBAY,662908
86356,2004-11-30,EBAY,662908
86356,2004-12-31,EBAY,669304
86356,2005-01-31,EBAY,669304
86356,2005-02-28,EBAY,1344806
86356,2005-03-31,EBAY,1348836
86356,2005-04-29,EBAY,1349781
86356,2005-05-31,EBAY,1349781
86356,2005-06-30,EBAY,1349781
86356,2005-07-29,EBAY,1353893
86356,2005-08-31,EBAY,1353893
86356,2005-09-30,EBAY,1360459
86356,2005-10-31,EBAY,1393767
86356,2005-11-30,EBAY,1398370
86356,2005-12-30,EBAY,1404183
86356,2006-01-31,EBAY,1404183
86356,2006-02-28,EBAY,1406718
86356,2006-03-31,EBAY,1409069
86356,2006-04-28,EBAY,1410109
86356,2006-05-31,EBAY,1410109
86356,2006-06-30,EBAY,1415197
86356,2006-07-31,EBAY,1415394
86356,2006-08-31,EBAY,1415394
86356,2006-09-29,EBAY,1393764
86356,2006-10-31,EBAY,1394108
86356,2006-11-30,EBAY,1394108
86356,2006-12-29,EBAY,1368512
86356,2007-01-31,EBAY,1368512
86356,2007-02-28,EBAY,1368974
86356,2007-03-30,EBAY,1363510
86356,2007-04-30,EBAY,1363838
86356,2007-05-31,EBAY,1363838
86356,2007-06-29,EBAY,1358212
86356,2007-07-31,EBAY,1358453
86356,2007-08-31,EBAY,1358453
86356,2007-09-28,EBAY,1352634
86356,2007-10-31,EBAY,1353529
86356,2007-11-30,EBAY,1353529
86356,2007-12-31,EBAY,1368512
