PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL
18224,07/31/2020,CTRA,3.12000,4.39000,3.97000,38889
18224,08/31/2020,CTRA,3.60000,4.75000,4.14000,24251
18224,09/30/2020,CTRA,3.98000,9.10000,7.32000,51840
18224,10/30/2020,CTRA,6.45000,8.71000,6.45000,17939
18224,11/30/2020,CTRA,6.64000,8.32000,7.40000,16235
18224,12/31/2020,CTRA,7.16000,13.77000,11.37000,38669
18224,01/29/2021,CTRA,10.77000,14.23000,11.34000,22695
18224,02/26/2021,AMR,11.63000,16.24000,15.00000,54232
18224,03/31/2021,AMR,11.45000,16.42000,12.63000,70127
18224,04/30/2021,AMR,12.09000,14.59000,12.09000,22153
18224,05/28/2021,AMR,12.88000,19.86000,19.86000,47923
18224,06/30/2021,AMR,19.44000,25.73000,25.63000,50208
18224,07/30/2021,AMR,22.74000,28.09000,27.87000,40617
18224,08/31/2021,AMR,27.85000,39.11000,39.11000,52726
18224,09/30/2021,AMR,39.53000,56.00000,49.79000,79922
18224,10/29/2021,AMR,55.62000,66.23000,61.79000,53578
18224,11/30/2021,AMR,45.40000,62.06000,46.59000,67075
18224,12/31/2021,AMR,44.89000,61.05000,61.05000,61845
18224,01/31/2022,AMR,59.57000,70.92000,63.23000,63817
18224,02/28/2022,AMR,70.48000,94.78000,94.78000,68740
18224,03/31/2022,AMR,97.14000,136.66000,131.96001,144521
18224,04/29/2022,AMR,119.52000,161.30000,154.74001,118160
18224,05/31/2022,AMR,144.85001,179.28000,161.74001,171852
18224,06/30/2022,AMR,129.00000,180.80000,129.13000,190518
18224,07/29/2022,AMR,108.17000,146.82001,136.75999,102856
18224,08/31/2022,AMR,127.05000,169.47000,157.14999,120137
18224,09/30/2022,AMR,117.90000,153.91000,136.84000,93831
18224,10/31/2022,AMR,143.56000,170.20000,168.85001,64299
18224,11/30/2022,AMR,151.24001,178.17999,171.23000,62978
18224,12/30/2022,AMR,142.19000,168.59000,146.39000,55847
18312,01/31/2019,MRNA,14.45000,17.00000,16.60000,205431
18312,02/28/2019,MRNA,16.22000,23.70000,22.60000,199058
18312,03/29/2019,MRNA,19.00000,22.27000,20.35000,200974
18312,04/30/2019,MRNA,19.70000,27.23000,26.03000,197326
18312,05/31/2019,MRNA,20.78000,28.34000,20.78000,152805
18312,06/28/2019,MRNA,13.70000,19.85000,14.64000,454540
18312,07/31/2019,MRNA,13.10000,15.31000,13.10000,236529
18312,08/30/2019,MRNA,12.26000,15.73000,15.73000,357613
18312,09/30/2019,MRNA,14.88000,18.07000,15.92000,945502
18312,10/31/2019,MRNA,13.93000,17.14000,16.75000,269934
18312,11/29/2019,MRNA,15.66000,20.69000,20.36000,308999
18312,12/31/2019,MRNA,18.44000,21.28000,19.56000,423369
18312,01/31/2020,MRNA,17.78000,22.74000,20.51000,734752
18312,02/28/2020,MRNA,18.23000,29.16000,25.93000,3250197
18312,03/31/2020,MRNA,21.30000,31.58000,29.95000,3972616
18312,04/30/2020,MRNA,29.67000,51.69000,45.99000,3102178
18312,05/29/2020,MRNA,47.93000,80.00000,61.50000,6500025
18312,06/30/2020,MRNA,58.19000,66.57000,64.21000,3457424
18312,07/31/2020,MRNA,58.57000,94.85000,74.10000,7333270
18312,08/31/2020,MRNA,64.88000,78.46000,64.89000,2911010
18312,09/30/2020,MRNA,54.34000,70.75000,70.75000,2048925
18312,10/30/2020,MRNA,65.74000,78.29000,67.47000,1394623
18312,11/30/2020,MRNA,67.11000,152.74001,152.74001,4309022
18312,12/31/2020,MRNA,104.47000,169.86000,104.47000,7560353
18312,01/29/2021,MRNA,109.18000,173.16000,173.16000,3429172
18312,02/26/2021,MRNA,144.78999,185.98000,154.81000,1969504
18312,03/31/2021,MRNA,118.49000,157.39999,130.95000,2054802
18312,04/30/2021,MRNA,129.91000,183.41000,178.82001,2075135
18312,05/28/2021,MRNA,149.87000,186.02000,185.00999,1881166
18312,06/30/2021,MRNA,184.66000,234.98000,234.98000,2101141
18312,07/30/2021,MRNA,221.89999,353.60001,353.60001,4145818
18312,08/31/2021,MRNA,346.60999,484.47000,376.69000,4818756
18312,09/30/2021,MRNA,378.89999,455.92001,384.85999,2838393
18312,10/29/2021,MRNA,302.42001,349.56000,345.20999,2391266
18312,11/30/2021,MRNA,225.82001,368.51001,352.42999,3217197
18312,12/31/2021,MRNA,241.44000,310.60999,253.98000,2450839
18312,01/31/2022,MRNA,148.62000,235.05000,169.33000,1985335
18312,02/28/2022,MRNA,135.73000,172.74001,153.60001,1398406
18312,03/31/2022,MRNA,126.46000,186.72000,172.25999,1861441
18312,04/29/2022,MRNA,134.41000,176.59000,134.41000,1090554
18312,05/31/2022,MRNA,123.43000,155.05000,145.33000,1443067
18312,06/30/2022,MRNA,117.13000,148.53000,142.85001,1137806
18312,07/29/2022,MRNA,149.95000,176.23000,164.09000,892676
18312,08/31/2022,MRNA,132.27000,194.17999,132.27000,1091123
18312,09/30/2022,MRNA,118.07000,142.28000,118.25000,1095678
18312,10/31/2022,MRNA,118.38000,150.97000,150.33000,1039755
18312,11/30/2022,MRNA,147.50000,185.47000,175.91000,896272
18312,12/30/2022,MRNA,165.13000,210.03999,179.62000,1535410
18411,01/31/2019,SO,43.72000,48.60000,48.60000,1153364
18411,02/28/2019,SO,48.49000,50.37000,49.69000,994115
18411,03/29/2019,SO,49.98000,52.53000,51.68000,977726
18411,04/30/2019,SO,51.20000,53.22000,53.22000,865763
18411,05/31/2019,SO,52.20000,54.35000,53.50000,925658
18411,06/28/2019,SO,54.16000,56.28000,55.28000,865901
18411,07/31/2019,SO,54.84000,56.91000,56.20000,842795
18411,08/30/2019,SO,55.93000,58.68000,58.26000,1217349
18411,09/30/2019,SO,59.02000,61.98000,61.77000,952677
18411,10/31/2019,SO,60.70000,62.66000,62.66000,869794
18411,11/29/2019,SO,60.47000,62.89000,61.99000,856987
18411,12/31/2019,SO,60.33000,63.86000,63.70000,1120992
18411,01/31/2020,SO,62.56000,70.85000,70.40000,869973
18411,02/28/2020,SO,60.36000,70.70000,60.36000,1050585
18411,03/31/2020,SO,43.23000,67.80000,54.14000,1987336
