permno,adate,qdate,public_date,GProf,TICKER
26825,2009-12-31,2010-06-30,2010-08-31,0.515,K
26825,2009-12-31,2010-06-30,2010-09-30,0.515,K
26825,2009-12-31,2010-06-30,2010-10-31,0.515,K
26825,2009-12-31,2010-09-30,2010-11-30,0.503,K
26825,2009-12-31,2010-09-30,2010-12-31,0.503,K
26825,2009-12-31,2010-09-30,2011-01-31,0.503,K
26825,2010-12-31,2010-12-31,2011-02-28,0.483,K
26825,2010-12-31,2010-12-31,2011-03-31,0.483,K
26825,2010-12-31,2010-12-31,2011-04-30,0.483,K
26825,2010-12-31,2011-03-31,2011-05-31,0.485,K
26825,2010-12-31,2011-03-31,2011-06-30,0.485,K
26825,2010-12-31,2011-03-31,2011-07-31,0.485,K
26825,2010-12-31,2011-06-30,2011-08-31,0.486,K
26825,2010-12-31,2011-06-30,2011-09-30,0.486,K
26825,2010-12-31,2011-06-30,2011-10-31,0.486,K
26825,2010-12-31,2011-09-30,2011-11-30,0.479,K
26825,2010-12-31,2011-09-30,2011-12-31,0.479,K
26825,2010-12-31,2011-09-30,2012-01-31,0.479,K
26825,2011-12-31,2011-12-31,2012-02-29,0.490,K
26825,2011-12-31,2011-12-31,2012-03-31,0.490,K
26825,2011-12-31,2011-12-31,2012-04-30,0.490,K
26825,2011-12-31,2012-03-31,2012-05-31,0.474,K
26825,2011-12-31,2012-03-31,2012-06-30,0.474,K
26825,2011-12-31,2012-03-31,2012-07-31,0.474,K
26825,2011-12-31,2012-06-30,2012-08-31,0.454,K
26825,2011-12-31,2012-06-30,2012-09-30,0.454,K
26825,2011-12-31,2012-06-30,2012-10-31,0.454,K
26825,2011-12-31,2012-09-30,2012-11-30,0.442,K
26825,2011-12-31,2012-09-30,2012-12-31,0.442,K
26825,2011-12-31,2012-09-30,2013-01-31,0.442,K
26825,2012-12-31,2012-12-31,2013-02-28,0.390,K
26825,2012-12-31,2012-12-31,2013-03-31,0.390,K
26825,2012-12-31,2012-12-31,2013-04-30,0.390,K
26825,2012-12-31,2013-03-31,2013-05-31,0.400,K
26825,2012-12-31,2013-03-31,2013-06-30,0.400,K
26825,2012-12-31,2013-03-31,2013-07-31,0.400,K
26825,2012-12-31,2013-06-30,2013-08-31,0.401,K
26825,2012-12-31,2013-06-30,2013-09-30,0.401,K
26825,2012-12-31,2013-06-30,2013-10-31,0.401,K
26825,2012-12-31,2013-09-30,2013-11-30,0.398,K
26825,2012-12-31,2013-09-30,2013-12-31,0.398,K
26825,2012-12-31,2013-09-30,2014-01-31,0.398,K
26825,2013-12-31,2013-12-31,2014-02-28,0.443,K
26825,2013-12-31,2013-12-31,2014-03-31,0.443,K
26825,2013-12-31,2013-12-31,2014-04-30,0.443,K
26825,2013-12-31,2014-03-31,2014-05-31,0.454,K
26825,2013-12-31,2014-03-31,2014-06-30,0.454,K
