PERMNO,date,TICKER,PRC,VOL
61399,2021-02-26,LOW,159.75000,6030418
61399,2021-03-01,LOW,161.94000,3361327
61399,2021-03-02,LOW,163.05000,4330969
61399,2021-03-03,LOW,158.28999,5238504
61399,2021-03-04,LOW,153.77000,7792734
61399,2021-03-05,LOW,158.58000,5143052
61399,2021-03-08,LOW,162.92000,4613427
61399,2021-03-09,LOW,165.99001,4585161
61399,2021-03-10,LOW,168.46001,3394910
61399,2021-03-11,LOW,170.75000,4989587
61399,2021-03-12,LOW,171.55000,3638686
61399,2021-03-15,LOW,174.20000,3745517
61399,2021-03-16,LOW,175.33000,3737227
61399,2021-03-17,LOW,174.44000,3119925
61399,2021-03-18,LOW,174.87000,3888064
61399,2021-03-19,LOW,179.49001,8525104
61399,2021-03-22,LOW,181.89000,4700154
61399,2021-03-23,LOW,180.39999,3324449
61399,2021-03-24,LOW,180.67999,3555416
61399,2021-03-25,LOW,185.17000,4543280
61399,2021-03-26,LOW,191.61000,4795152
61399,2021-03-29,LOW,188.62000,3970939
61399,2021-03-30,LOW,190.02000,3547575
61399,2021-03-31,LOW,190.17999,3564357
61399,2021-04-01,LOW,191.32001,3192229
61399,2021-04-05,LOW,193.73000,3507184
61399,2021-04-06,LOW,194.20000,2917930
61399,2021-04-07,LOW,193.67000,3276259
61399,2021-04-08,LOW,194.21001,2684463
61399,2021-04-09,LOW,198.50999,3168770
61399,2021-04-12,LOW,200.64999,3647875
61399,2021-04-13,LOW,199.72000,2964525
61399,2021-04-14,LOW,201.52000,3371879
61399,2021-04-15,LOW,204.57001,3656292
61399,2021-04-16,LOW,208.25000,6359772
61399,2021-04-19,LOW,204.00999,3828801
61399,2021-04-20,LOW,202.77000,3006194
61399,2021-04-21,LOW,203.91000,2716757
61399,2021-04-22,LOW,201.30000,3712957
61399,2021-04-23,LOW,200.92999,3634022
61399,2021-04-26,LOW,199.19000,3017006
61399,2021-04-27,LOW,199.05000,3453852
61399,2021-04-28,LOW,196.06000,4939169
61399,2021-04-29,LOW,198.44000,3860273
61399,2021-04-30,LOW,196.25000,4255564
61399,2021-05-03,LOW,199.20000,4629549
61399,2021-05-04,LOW,200.30000,4150088
61399,2021-05-05,LOW,200.00000,3715334
61399,2021-05-06,LOW,205.94000,4525204
61399,2021-05-07,LOW,208.39999,3695125
61399,2021-05-10,LOW,211.31000,4476915
61399,2021-05-11,LOW,205.34000,4449217
61399,2021-05-12,LOW,195.53999,5406645
61399,2021-05-13,LOW,200.34000,4495509
61399,2021-05-14,LOW,198.91000,3742979
61399,2021-05-17,LOW,194.13000,5798755
61399,2021-05-18,LOW,192.75000,5691482
61399,2021-05-19,LOW,190.72000,6797914
61399,2021-05-20,LOW,193.41000,4397664
61399,2021-05-21,LOW,192.47000,4032744
61399,2021-05-24,LOW,190.66000,3396434
61399,2021-05-25,LOW,193.02000,4089275
61399,2021-05-26,LOW,193.60001,3565939
61399,2021-05-27,LOW,193.77000,5126469
61399,2021-05-28,LOW,194.83000,3619589
61399,2021-06-01,LOW,191.85001,4105632
61399,2021-06-02,LOW,190.77000,3997711
61399,2021-06-03,LOW,190.30000,3469466
61399,2021-06-04,LOW,189.91000,4210681
61399,2021-06-07,LOW,190.25000,2913482
61399,2021-06-08,LOW,191.39999,3604841
61399,2021-06-09,LOW,190.60001,3638947
61399,2021-06-10,LOW,188.78000,3905835
61399,2021-06-11,LOW,190.81000,3127773
61399,2021-06-14,LOW,189.66000,3257722
61399,2021-06-15,LOW,187.88000,4472613
61399,2021-06-16,LOW,186.20000,4176146
61399,2021-06-17,LOW,186.84000,4260944
61399,2021-06-18,LOW,186.88000,9316869
61399,2021-06-21,LOW,188.88000,4539680
61399,2021-06-22,LOW,191.72000,3995715
61399,2021-06-23,LOW,191.14000,2836086
61399,2021-06-24,LOW,191.75000,2768003
61399,2021-06-25,LOW,192.66000,4149785
