PERMNO,date,TICKER,PRC
75154,2021-10-29,CCL,22.16000
75154,2021-11-30,CCL,17.62000
75154,2021-12-31,CCL,20.12000
75154,2022-01-31,CCL,19.81000
75154,2022-02-28,CCL,20.33000
75154,2022-03-31,CCL,20.22000
75154,2022-04-29,CCL,17.30000
75154,2022-05-31,CCL,13.88000
75154,2022-06-30,CCL,8.65000
75154,2022-07-29,CCL,9.06000
75154,2022-08-31,CCL,9.46000
75154,2022-09-30,CCL,7.03000
75154,2022-10-31,CCL,9.06000
75154,2022-11-30,CCL,9.93000
75154,2022-12-30,CCL,8.06000
75186,2000-01-31,SCH,35.87500
75186,2000-02-29,SCH,41.87500
75186,2000-03-31,SCH,56.81250
75186,2000-04-28,SCH,44.50000
75186,2000-05-31,SCH,28.57813
75186,2000-06-30,SCH,33.62500
75186,2000-07-31,SCH,36.12500
75186,2000-08-31,SCH,38.18750
75186,2000-09-29,SCH,35.50000
75186,2000-10-31,SCH,35.12500
75186,2000-11-30,SCH,27.68750
75186,2000-12-29,SCH,28.37500
75186,2001-01-31,SCH,26.41000
75186,2001-02-28,SCH,20.90000
75186,2001-03-30,SCH,15.42000
75186,2001-04-30,SCH,19.80000
75186,2001-05-31,SCH,18.80000
75186,2001-06-29,SCH,15.75000
75186,2001-07-31,SCH,14.99000
75186,2001-08-31,SCH,12.46000
75186,2001-09-28,SCH,11.50000
75186,2001-10-31,SCH,12.88000
75186,2001-11-30,SCH,14.36000
75186,2001-12-31,SCH,15.47000
75186,2002-01-31,SCH,14.37000
75186,2002-02-28,SCH,13.04000
75186,2002-03-28,SCH,13.09000
75186,2002-04-30,SCH,11.39000
75186,2002-05-31,SCH,12.09000
75186,2002-06-28,SCH,11.20000
75186,2002-07-31,SCH,8.95000
75186,2002-08-30,SCH,9.18000
75186,2002-09-30,SCH,8.70000
75186,2002-10-31,SCH,9.18000
75186,2002-11-29,SCH,11.54000
75186,2002-12-31,SCH,10.85000
75186,2003-01-31,SCH,9.22000
75186,2003-02-28,SCH,7.90000
75186,2003-03-31,SCH,7.22000
75186,2003-04-30,SCH,8.63000
75186,2003-05-30,SCH,9.70000
75186,2003-06-30,SCH,10.09000
75186,2003-07-31,SCH,10.41000
75186,2003-08-29,SCH,10.86000
75186,2003-09-30,SCH,11.91000
75186,2003-10-31,SCH,13.56000
75186,2003-11-28,SCH,11.60000
75186,2003-12-31,SCH,11.84000
75186,2004-01-30,SCH,12.59000
75186,2004-02-27,SCH,12.24000
75186,2004-03-31,SCH,11.61000
75186,2004-04-30,SCH,10.29000
75186,2004-05-28,SCH,9.80000
75186,2004-06-30,SCH,9.61000
75186,2004-07-30,SCH,8.78000
75186,2004-08-31,SCH,9.45000
75186,2004-09-30,SCH,9.19000
75186,2004-10-29,SCH,9.15000
75186,2004-11-30,SCH,10.79000
75186,2004-12-31,SCH,11.96000
75186,2005-01-31,SCH,11.24000
75186,2005-02-28,SCH,10.50000
75186,2005-03-31,SCH,10.51000
75186,2005-04-29,SCH,10.35000
75186,2005-05-31,SCH,11.34000
75186,2005-06-30,SCH,11.28000
75186,2005-07-29,SCH,13.70000
75186,2005-08-31,SCH,13.53000
75186,2005-09-30,SCH,14.43000
75186,2005-10-31,SCH,15.20000
75186,2005-11-30,SCH,15.25000
75186,2005-12-30,SCHW,14.67000
75186,2006-01-31,SCHW,14.79000
75186,2006-02-28,SCHW,16.21000
75186,2006-03-31,SCHW,17.21000
75186,2006-04-28,SCHW,17.90000
75186,2006-05-31,SCHW,16.66000
75186,2006-06-30,SCHW,15.98000
75186,2006-07-31,SCHW,15.88000
75186,2006-08-31,SCHW,16.31000
75186,2006-09-29,SCHW,17.91000
75186,2006-10-31,SCHW,18.22000
75186,2006-11-30,SCHW,18.34000
75186,2006-12-29,SCHW,19.34000
75186,2007-01-31,SCHW,18.92000
75186,2007-02-28,SCHW,18.48000
